Latitude (deg.): 49.744
Longitude (deg.): 6.627

A		H_hor		A_sun(w)		H_sun(w)		A_sun(s)		H_sun(s)
-180.0		3.4		-180.0		0.0		-180.0		0.0
-172.5		2.7		-164.7		0.0		-172.8		0.0
-165.0		1.9		-150.5		0.0		-165.7		0.0
-157.5		2.3		-138.0		0.0		-158.8		0.0
-150.0		1.5		-127.3		0.0		-152.0		0.0
-142.5		1.9		-118.1		0.0		-145.5		0.0
-135.0		1.9		-110.1		0.0		-139.2		0.0
-127.5		1.9		-103.1		0.0		-133.2		0.0
-120.0		1.9		-96.7		0.0		-127.4		0.4
-112.5		2.7		-90.7		0.0		-121.8		4.4
-105.0		3.4		-85.1		0.0		-116.3		8.6
-97.5		3.1		-79.7		0.0		-111.0		13.1
-90.0		2.7		-74.3		0.0		-105.7		17.7
-82.5		2.7		-69.0		0.0		-100.3		22.4
-75.0		2.7		-63.7		0.0		-94.9		27.2
-67.5		2.7		-58.2		0.0		-89.3		32.0
-60.0		2.7		-52.6		0.0		-83.3		36.9
-52.5		3.1		-46.8		3.3		-76.9		41.7
-45.0		3.1		-40.8		6.6		-69.9		46.3
-37.5		3.4		-34.5		9.6		-61.9		50.7
-30.0		3.4		-28.0		12.1		-52.7		54.8
-22.5		3.4		-21.2		14.1		-42.0		58.4
-15.0		3.4		-14.3		15.6		-29.5		61.2
-7.5		2.7		-7.2		16.5		-15.3		63.1
0.0		2.3		0.0		16.8		0.0		63.7
7.5		2.7		7.2		16.5		15.3		63.1
15.0		2.3		14.3		15.6		29.5		61.2
22.5		1.9		21.2		14.1		42.0		58.4
30.0		1.5		28.0		12.1		52.7		54.8
37.5		3.8		34.5		9.6		61.9		50.7
45.0		3.8		40.8		6.6		69.9		46.3
52.5		3.8		46.8		3.3		76.9		41.7
60.0		3.8		52.6		0.0		83.3		36.9
67.5		4.2		58.2		0.0		89.3		32.0
75.0		4.2		63.7		0.0		94.9		27.2
82.5		3.8		69.0		0.0		100.3		22.4
90.0		4.6		74.3		0.0		105.7		17.7
97.5		6.1		79.7		0.0		111.0		13.1
105.0		6.9		85.1		0.0		116.3		8.6
112.5		7.6		90.7		0.0		121.8		4.4
120.0		7.3		96.7		0.0		127.4		0.4
127.5		6.1		103.1		0.0		133.2		0.0
135.0		6.5		110.1		0.0		139.2		0.0
142.5		6.5		118.1		0.0		145.5		0.0
150.0		6.1		127.3		0.0		152.0		0.0
157.5		5.0		138.0		0.0		158.8		0.0
165.0		4.6		150.5		0.0		165.7		0.0
172.5		3.4		164.7		0.0		172.8		0.0
180.0		3.4		180.0		0.0		180.0		0.0

A: Azimuth (0 = S, 90 = W, -90 = E) (degree)
H_hor: Horizon height (degree)
A_sun(w): Sun azimuth in the winter solstice (Dec 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(w): Sun height in the winter solstice (Dec 21) (degree)
A_sun(s): Sun azimuth in the summer solstice (June 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(s): Sun height in the summer solstice (June 21) (degree)

PVGIS (c) European Union, 2001-2025
